"success","data__id","data__mpName","data__house","data__state","data__constituency","data__allocatedAmount","data__totalExpenditure","data__utilizationPercentage","data__completedWorksCount","data__recommendedWorksCount","data__completionRate","data__pendingWorks","data__unspentAmount","data__completedWorksValue","data__totalCompletedAmount","data__inProgressPayments","data__paymentGapPercentage","pagination__currentPage","pagination__totalPages","pagination__totalCount","pagination__limit"
"True","6a90d9e260cc5ec1e4c309f3","Smt. S. Phangnon Konyak (2022-28)","Rajya Sabha","Nagaland","Sitting Rajya Sabha","206563957.11","196106200","94.93727886688818","57","20","74.02597402597402","-37","10457757.110000014","144763000","144763000","51343200","26.181324200866673","1","1","774","800"
"","6a90d9df60cc5ec1e4c3068e","Shri Arun Kumar Sagar ","Lok Sabha","Uttar Pradesh","SHAHJAHANPUR","147000000","138723000","94.36938775510204","4","3","57.14285714285714","-1","8277000","97143000","97143000","41580000","29.9734002292338","","","",""
"","6a90d9df60cc5ec1e4c30663","S SUPONGMEREN JAMIR","Lok Sabha","Nagaland","NAGALAND","147000000","138150000","93.9795918367347","38","18","67.85714285714286","-20","8850000","88600000","88600000","49550000","35.86681143684401","","","",""
"","6a90d9df60cc5ec1e4c306e8","VIJAYLAKSHMI DEVI","Lok Sabha","Bihar","SIWAN","147000000","134748616","91.66572517006803","95","87","52.197802197802204","-8","12251384","90543755","90543755","44204861","32.80542859156342","","","",""
"","6a90d9df60cc5ec1e4c306c0","Smt Veena Devi ","Lok Sabha","Bihar","VAISHALI","147000000","131108889","89.18972040816327","30","29","50.847457627118644","-1","15891111","93983889","93983889","37125000","28.31615787698422","","","",""
"","6a90d9e260cc5ec1e4c309e3","Smt. Darshana Singh (2022-28)","Rajya Sabha","Uttar Pradesh","Sitting Rajya Sabha","196994373.87","174994106","88.83203238864154","31","16","65.95744680851064","-15","22000267.870000005","139851228","139851228","35142878","20.082320943997967","","","",""
"","6a90d9e260cc5ec1e4c3098f","Shri Mithlesh Kumar (2022-28)","Rajya Sabha","Uttar Pradesh","Sitting Rajya Sabha","196063957.11","170753928","87.09093222279502","195","9","95.58823529411765","-186","25310029.110000014","143813928","143813928","26940000","15.777089473455627","","","",""
"","6a90d9e260cc5ec1e4c309f6","Smt. Sangeeta Yadav (2022-28)","Rajya Sabha","Uttar Pradesh","Sitting Rajya Sabha","196063957.11","169940841","86.6762272397961","43","78","35.53719008264463","35","26123116.110000014","117219561","117219561","52721280","31.023313577693777","","","",""
"","6a90d9e260cc5ec1e4c309e4","Smt. Geeta alias Chandraprabha (2020-26)","Rajya Sabha","Uttar Pradesh","Sitting Rajya Sabha","196063957.11","169877016.35","86.64367426527659","210","37","85.02024291497976","-173","26186940.76000002","161572422.35","161572422.35","8304594","4.888591863945814","","","",""
"","6a90d9e260cc5ec1e4c3094a","Shri B.L. Verma (2020-26)","Rajya Sabha","Uttar Pradesh","Sitting Rajya Sabha","196063957.11","168937264.09","86.16436523068806","350","64","84.54106280193237","-286","27126693.02000001","116682306.09","116682306.09","52254958","30.93157586129818","","","",""
"","6a90d9e260cc5ec1e4c309fb","Smt. Sumitra Balmik (2022-28)","Rajya Sabha","Madhya Pradesh","Sitting Rajya Sabha","196063957.11","163767349","83.52751388574684","62","116","34.831460674157306","54","32296608.110000014","76039991","76039991","87727358","53.568283626548784","","","",""
"","6a90d9df60cc5ec1e4c3050d","Ashok Kumar Rawat","Lok Sabha","Uttar Pradesh","MISRIKH","147000000","121139986","82.4081537414966","2","3","40","1","25860014","48614657","48614657","72525329","59.86902540999138","","","",""
"","6a90d9e260cc5ec1e4c30972","Shri Javed Ali Khan (2022-28)","Rajya Sabha","Uttar Pradesh","Sitting Rajya Sabha","196063957.11","160977854.28","82.10476655313283","125","68","64.76683937823834","-57","35086102.83000001","101806791","101806791","59171063.28","36.75726921858434","","","",""
"","6a90d9e260cc5ec1e4c309b3","Shri Ramji (2020-26)","Rajya Sabha","Uttar Pradesh","Sitting Rajya Sabha","174518577.11","141923083","81.32262212437425","154","91","62.857142857142854","-63","32595494.110000014","133996851","133996851","7926232","5.5848786768534335","","","",""
"","6a90d9e260cc5ec1e4c3093c","Prof. Ram Gopal Yadav (2020-26)","Rajya Sabha","Uttar Pradesh","Sitting Rajya Sabha","221271395.11","178725656","80.77214676174054","25","56","30.864197530864196","31","42545739.110000014","78745019","78745019","99980637","55.94084209152378","","","",""
"","6a90d9df60cc5ec1e4c306c7","SUKHDEO BHAGAT","Lok Sabha","Jharkhand","LOHARDAGA","171821957.11","138586757","80.65718685259597","80","204","28.169014084507044","124","33235200.110000014","45856503","45856503","92730254","66.91133843329634","","","",""
"","6a90d9df60cc5ec1e4c30621","Pradeep Kumar Singh","Lok Sabha","Bihar","ARARIA","147000000","118278146","80.4613238095238","39","47","45.348837209302324","8","28721854","94498127","94498127","23780019","20.10516718785903","","","",""
"","6a90d9e260cc5ec1e4c309a8","Shri R. Dharmar (2022-28)","Rajya Sabha","Tamil Nadu","Sitting Rajya Sabha","260812242.52","207877791","79.70400046848229","189","55","77.45901639344262","-134","52934451.52000001","204379819","204379819","3497972","1.6827059702592277","","","",""
"","6a90d9e260cc5ec1e4c30967","Shri Hardeep Singh Puri (2020-26)","Rajya Sabha","Uttar Pradesh","Sitting Rajya Sabha","226801049.11","180480217.2","79.57644724670823","278","137","66.98795180722892","-141","46320831.910000026","112016608.2","112016608.2","68463608.99999999","37.934134866499924","","","",""
"","6a90d9e260cc5ec1e4c3091f","Dr. Faiyaz Ahmad (2022-28)","Rajya Sabha","Bihar","Sitting Rajya Sabha","235263957.11","183753433","78.10522073046839","130","59","68.78306878306879","-71","51510524.110000014","145214990","145214990","38538443","20.97291047618142","","","",""
"","6a90d9df60cc5ec1e4c3058a","Giridhari Yadav","Lok Sabha","Bihar","BANKA","147000000","114805889","78.09924421768707","85","35","70.83333333333334","-50","32194111","97151866","97151866","17654023","15.37727999301499","","","",""
"","6a90d9e260cc5ec1e4c3097e","Shri Khiru Mahto (2022-28)","Rajya Sabha","Bihar","Sitting Rajya Sabha","235770091.81","183791258","77.95359309106594","171","6","96.61016949152543","-165","51978833.81","179942987","179942987","3848271","2.093827008899411","","","",""
"","6a90d9e260cc5ec1e4c309f7","Smt. Seema Dwivedi (2020-26)","Rajya Sabha","Uttar Pradesh","Sitting Rajya Sabha","173830159.11","135282718.4","77.82465315146658","210","198","51.470588235294116","-12","38547440.71000001","104021540.4","104021540.4","31261178","23.108035061483506","","","",""
"","6a90d9e260cc5ec1e4c309f0","Smt. Ranjeet Ranjan (2022-28)","Rajya Sabha","Chhattisgarh","Sitting Rajya Sabha","246780257.87","185739464","75.26512274650618","160","121","56.93950177935944","-39","61040793.870000005","131171025","131171025","54568439","29.379022543103712","","","",""
"","6a90d9e260cc5ec1e4c3091b","Dr. Bhim Singh (2024-30)","Rajya Sabha","Bihar","Sitting Rajya Sabha","186200000","139819329","75.09093931256713","233","82","73.96825396825398","-151","46380671","93849329","93849329","45970000","32.87814376508702","","","",""
"","6a90d9e260cc5ec1e4c309bd","Shri S. Kalyanasundaram (2022-28)","Rajya Sabha","Tamil Nadu","Sitting Rajya Sabha","239763792.52","179863534","75.01697070669942","141","44","76.21621621621621","-97","59900258.52000001","164924211","164924211","14939323","8.305920976733393","","","",""
"","6a90d9e260cc5ec1e4c309d0","Shri Shambhu Sharan Patel (2022-28)","Rajya Sabha","Bihar","Sitting Rajya Sabha","237168443.49","175484824","73.99164130678251","199","108","64.82084690553745","-91","61683619.49000001","157543823","157543823","17941001","10.223676663914825","","","",""
"","6a90d9df60cc5ec1e4c30600","Mukesh Rajput","Lok Sabha","Uttar Pradesh","FARRUKHABAD","147000000","108417412","73.75334149659864","246","49","83.38983050847457","-197","38582588","92642945","92642945","15774467","14.549754240582685","","","",""
"","6a90d9e260cc5ec1e4c3091d","Dr. Dharmshila Gupta (2024-30)","Rajya Sabha","Bihar","Sitting Rajya Sabha","186200000","136714265","73.42334317937701","87","55","61.267605633802816","-32","49485735","114316446","114316446","22397819","16.382942189682986","","","",""
"","6a90d9df60cc5ec1e4c30654","Ramprit Mandal","Lok Sabha","Bihar","JHANJHARPUR","147000000","107510581","73.13644965986394","89","91","49.44444444444444","2","39489419","92200801","92200801","15309780","14.240254175540173","","","",""
"","6a90d9df60cc5ec1e4c3064d","RAM PRASAD CHAUDHARY","Lok Sabha","Uttar Pradesh","BASTI","204176957.11","148429426","72.69646296081976","37","146","20.21857923497268","109","55747531.110000014","63914240","63914240","84515186","56.93964349090726","","","",""
"","6a90d9df60cc5ec1e4c304f7","ANDREW J. SYNGKON","Lok Sabha","Meghalaya","SHILLONG","98000000","70505000","71.9438775510204","98","146","40.16393442622951","48","27495000","36350000","36350000","34155000","48.44337281043898","","","",""
"","6a90d9df60cc5ec1e4c30573","DR. RAJESH MISHRA","Lok Sabha","Madhya Pradesh","SIDHI","262724510.35","184983789","70.40979494207286","172","169","50.43988269794721","-3","77740721.35","136499025","136499025","48484764","26.210277269215197","","","",""
"","6a90d9e260cc5ec1e4c309a9","Shri R. Girirajan (2022-28)","Rajya Sabha","Tamil Nadu","Sitting Rajya Sabha","236312242.52","165928789","70.21590893072617","150","71","67.87330316742081","-79","70383453.52000001","124310817","124310817","41617972","25.08182712042815","","","",""
"","6a90d9e260cc5ec1e4c309e8","Smt. Mahua Maji (2022-28)","Rajya Sabha","Jharkhand","Sitting Rajya Sabha","232524001.2","163193927","70.18369121372233","150","315","32.25806451612903","165","69330074.19999999","81123339","81123339","82070588","50.2902218904261","","","",""
"","6a90d9e260cc5ec1e4c3093f","Shri Aditya Prasad (2022-28)","Rajya Sabha","Jharkhand","Sitting Rajya Sabha","227628508.2","159474868","70.05926861317452","141","85","62.38938053097345","-56","68153640.19999999","115687342","115687342","43787526","27.45732073595446","","","",""
"","6a90d9e260cc5ec1e4c3094c","Shri Baburam Nishad (2022-28)","Rajya Sabha","Uttar Pradesh","Sitting Rajya Sabha","196063957.11","136082109.32","69.40699929036538","436","213","67.18027734976889","-223","59981847.79000002","113334752.32","113334752.32","22747357","16.71590564966119","","","",""
